sonar_rule,sonar_issue_type,sonar_severity,paper_hallucination_type,relation_issue_count,sonar_rule_total_issues,relation_coverage_of_sonar_rule_pct,relation_coverage_of_all_sonar_issues_pct,responses_with_relation,paper_labeled_responses,paper_type_coverage_pct
java:S106,CODE_SMELL,MAJOR,Behavior Conflicting,2,13,15.38,0.29,2,420,0.48
java:S106,CODE_SMELL,MAJOR,Undefined Variables,4,13,30.77,0.58,2,200,1.0
java:S106,CODE_SMELL,MAJOR,Useless Statements (executed without effect),7,13,53.85,1.01,6,71,8.45
java:S1066,CODE_SMELL,MAJOR,Library/Project,1,1,100.0,0.14,1,309,0.32
java:S112,CODE_SMELL,MAJOR,Library/Project,4,4,100.0,0.58,2,309,0.65
java:S1126,CODE_SMELL,MINOR,Behavior Conflicting,1,5,20.0,0.14,1,420,0.24
java:S1126,CODE_SMELL,MINOR,Common Sense,1,5,20.0,0.14,1,3,33.33
java:S1126,CODE_SMELL,MINOR,Fragmented Logics,1,5,20.0,0.14,1,21,4.76
java:S1126,CODE_SMELL,MINOR,Undefined Variables,1,5,20.0,0.14,1,200,0.5
java:S1126,CODE_SMELL,MINOR,Useless Statements (executed without effect),1,5,20.0,0.14,1,71,1.41
java:S1135,CODE_SMELL,INFO,Library/Project,1,2,50.0,0.14,1,309,0.32
java:S1135,CODE_SMELL,INFO,Useless Statements (executed without effect),1,2,50.0,0.14,1,71,1.41
java:S1144,CODE_SMELL,MAJOR,Algorithm,4,32,12.5,0.58,4,60,6.67
java:S1144,CODE_SMELL,MAJOR,Behavior Conflicting,5,32,15.62,0.72,5,420,1.19
java:S1144,CODE_SMELL,MAJOR,Library/Project,15,32,46.88,2.17,15,309,4.85
java:S1144,CODE_SMELL,MAJOR,Undefined Variables,8,32,25.0,1.16,8,200,4.0
java:S1144,CODE_SMELL,MAJOR,Useless Statements (executed without effect),1,32,3.12,0.14,1,71,1.41
java:S1149,CODE_SMELL,MAJOR,Behavior Conflicting,2,2,100.0,0.29,2,420,0.48
java:S1168,CODE_SMELL,MAJOR,Algorithm,3,10,30.0,0.43,3,60,5.0
java:S1168,CODE_SMELL,MAJOR,Behavior Conflicting,6,10,60.0,0.87,6,420,1.43
java:S1168,CODE_SMELL,MAJOR,Undefined Variables,1,10,10.0,0.14,1,200,0.5
java:S117,CODE_SMELL,MINOR,Library/Project,5,5,100.0,0.72,1,309,0.32
