sonar_rule,paper_type,issues
java:S106,<unlabeled>,19
java:S106,Behavior Conflicting,2
java:S106,Undefined Variables,4
java:S106,Useless Statements (executed without effect),7
java:S1066,<unlabeled>,3
java:S1066,Library/Project,1
java:S1075,<unlabeled>,2
java:S112,<unlabeled>,8
java:S112,Library/Project,5
java:S1125,<unlabeled>,2
java:S1126,<unlabeled>,2
java:S1126,Behavior Conflicting,1
java:S1126,Common Sense,1
java:S1126,Fragmented Logics,1
java:S1126,Undefined Variables,1
java:S1126,Useless Statements (executed without effect),1
java:S1130,<unlabeled>,1
java:S1135,Library/Project,1
java:S1135,Useless Statements (executed without effect),1
java:S1144,<unlabeled>,25
java:S1144,Algorithm,4
java:S1144,Behavior Conflicting,7
java:S1144,Library/Project,15
java:S1144,Undefined Variables,14
java:S1144,Useless Statements (executed without effect),5
java:S1149,<unlabeled>,2
java:S1149,Behavior Conflicting,2
java:S1168,<unlabeled>,11
java:S1168,Algorithm,4
java:S1168,Behavior Conflicting,8
java:S1168,Library/Project,5
java:S117,<unlabeled>,1
java:S117,Library/Project,5
java:S1172,<unlabeled>,14
java:S1172,Behavior Conflicting,3
java:S1172,Library/Project,3
java:S1172,Undefined Variables,6
java:S1172,Useless Statements (executed without effect),2
java:S1192,<unlabeled>,1
java:S1192,Library/Project,1
java:S1197,<unlabeled>,5
java:S1197,Library/Project,1
java:S1197,Undefined Variables,4
java:S1206,Behavior Conflicting,1
java:S1206,Library/Project,1
java:S125,Behavior Conflicting,2
java:S125,Useless Statements (executed without effect),1
java:S127,<unlabeled>,15
java:S135,<unlabeled>,1
java:S135,Library/Project,1
java:S135,Undefined Variables,1
java:S1481,Library/Project,1
java:S1488,<unlabeled>,7
java:S1488,Behavior Conflicting,3
java:S1488,Data Conflicting,1
java:S1488,Library/Project,3
java:S1488,Undefined Variables,3
java:S1488,Useless Statements (executed without effect),1
java:S1604,<unlabeled>,1
java:S1604,Algorithm,1
java:S1659,Library/Project,1
java:S1854,<unlabeled>,320
java:S1854,Algorithm,20
java:S1854,Behavior Conflicting,70
java:S1854,Common Sense,2
java:S1854,Data Conflicting,4
java:S1854,Library/Project,160
java:S1854,Undefined Variables,114
java:S1854,Useless Statements (executed without effect),40
java:S1871,<unlabeled>,3
java:S2129,<unlabeled>,1
java:S2189,<unlabeled>,1
java:S2189,Useless Statements (executed without effect),1
java:S2293,<unlabeled>,1
java:S2293,Library/Project,2
java:S2293,Undefined Variables,1
java:S3012,<unlabeled>,3
java:S3012,Algorithm,2
java:S3012,Behavior Conflicting,5
java:S3012,Library/Project,1
java:S3358,<unlabeled>,1
java:S3626,<unlabeled>,1
java:S3626,Undefined Variables,1
java:S3740,Behavior Conflicting,2
java:S3776,<unlabeled>,3
java:S3776,Library/Project,6
java:S3776,Undefined Variables,2
java:S4719,Library/Project,1
java:S5738,<unlabeled>,1
java:S6201,<unlabeled>,7
java:S6201,Algorithm,1
java:S6201,Library/Project,2
java:S6208,<unlabeled>,2
java:S6208,Library/Project,2
python:S1066,<unlabeled>,18
python:S1066,Data Conflicting,1
python:S112,<unlabeled>,4
python:S112,Behavior Conflicting,2
python:S112,Library/Project,1
python:S1135,<unlabeled>,2
python:S117,<unlabeled>,7
python:S117,Behavior Conflicting,7
python:S117,Computer Theory,1
python:S1172,<unlabeled>,65
python:S1172,Algorithm,6
python:S1172,Behavior Conflicting,15
python:S1172,Computer Theory,2
python:S1172,Data Conflicting,3
python:S1172,Library/Project,18
python:S1172,Mathematics & Natural Science,1
python:S1172,Undefined Variables,3
python:S1172,Useless Statements (executed without effect),1
python:S1172,Useless Statements (unexecuted),1
python:S1192,<unlabeled>,1
python:S1192,Behavior Conflicting,1
python:S1226,<unlabeled>,2
python:S1226,Algorithm,2
python:S1226,Behavior Conflicting,2
python:S1481,<unlabeled>,27
python:S1481,Algorithm,5
python:S1481,Behavior Conflicting,3
python:S1481,Data Conflicting,4
python:S1481,Library/Project,3
python:S1481,Useless Statements (executed without effect),3
python:S1542,<unlabeled>,47
python:S1542,Behavior Conflicting,7
